epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
1,0,val,0.0,-3527472.75,,,,,,0.0002
1,117,val,-2386759.879173344,-19016.744140625,,,,,,0.0002
1,235,val,-1197741.5742021275,-16107.5419921875,,,,,,0.0002
1,353,val,-802764.1370036963,-14337.755859375,,,,,,0.0002
1,471,val,-605500.2385818904,-14040.5048828125,,,,,,0.0002
1,585,val,-490313.77512186207,-13528.4736328125,,,,,,0.0002
1,epoch_end,train,-489501.3797844901,,,,390.95253368390854,0.11794756352901459,10.016852690716433,0.0002
2,117,val,-14118.456956129812,-13277.73828125,,,,,,0.0002
2,235,val,-14027.58076379655,-12829.0625,,,,,,0.0002
2,353,val,-13884.073521600581,-13239.373046875,,,,,,0.0002
2,471,val,-13755.326124187239,-12544.65625,,,,,,0.0002
2,585,val,-13645.325195312507,-12519.5205078125,,,,,,0.0002
2,epoch_end,train,-13645.300869573919,,,,392.6628732425987,0.14821764826774597,10.815405345296224,0.0002
3,117,val,-13118.792735042734,-12720.169921875,,,,,,0.0002
3,235,val,-13032.636461103726,-12306.6357421875,,,,,,0.0002
3,353,val,-12995.208262327382,-12243.4833984375,,,,,,0.0002
3,471,val,-12940.325315568618,-13031.095703125,,,,,,0.0002
3,585,val,-12906.156815905457,-12417.7333984375,,,,,,0.0002
3,epoch_end,train,-12906.551367854103,,,,389.8670596733232,0.17069290578365326,11.431547785608213,0.0002
4,117,val,-12682.753756009615,-12202.0361328125,,,,,,0.0002
4,235,val,-12542.358427526598,-11714.4638671875,,,,,,0.0002
4,353,val,-12478.017414903505,-11702.1806640625,,,,,,0.0002
4,471,val,-12370.549020949444,-11325.8125,,,,,,0.0002
4,585,val,-12286.552582465269,-11405.6611328125,,,,,,0.0002
4,epoch_end,train,-12286.133250786574,,,,383.80092419870465,0.2040594220161438,12.365308087820377,0.0002
5,117,val,-11627.609650440707,-10802.6083984375,,,,,,0.0002
5,235,val,-11478.92680767952,-10138.2021484375,,,,,,0.0002
5,353,val,-11342.288677961214,-10370.310546875,,,,,,0.0002
5,471,val,-11231.49417172572,-10193.6884765625,,,,,,0.0002
5,585,val,-11074.493673210482,-9238.4052734375,,,,,,0.0002
5,epoch_end,train,-11072.104608841735,,,,374.1675084216705,0.2428787648677826,13.077046333615959,0.0002
6,117,val,-10000.244825053416,-8942.0234375,,,,,,0.0002
6,235,val,-9823.994082446805,-8651.4384765625,,,,,,0.0002
6,353,val,-9634.330968927046,-8053.74609375,,,,,,0.0002
6,471,val,-9425.452083125985,-7719.146484375,,,,,,0.0002
6,585,val,-9240.483195612975,-7379.9404296875,,,,,,0.0002
6,epoch_end,train,-9236.810402723704,,,,361.6066529300893,0.28578829765319824,13.180714338241268,0.0002
7,117,val,-8075.33717698317,-6896.82763671875,,,,,,0.0002
7,235,val,-7899.516709607712,-6849.7734375,,,,,,0.0002
7,353,val,-7772.386906869689,-6314.6376953125,,,,,,0.0002
7,471,val,-7635.506447178541,-6331.19140625,,,,,,0.0002
7,585,val,-7512.187035089481,-6232.10302734375,,,,,,0.0002
7,epoch_end,train,-7510.678959244351,,,,356.96345474299653,0.3074614405632019,13.360349679519448,0.0002
8,117,val,-6709.103811932428,-5762.140625,,,,,,0.0002
8,235,val,-6652.665527343747,-5441.58203125,,,,,,0.0002
8,353,val,-6525.427223962021,-5624.13427734375,,,,,,0.0002
8,471,val,-6419.743963350916,-5331.908203125,,,,,,0.0002
8,585,val,-6336.443516292736,-5051.525390625,,,,,,0.0002
8,epoch_end,train,-6337.017158169796,,,,362.1843732026523,0.33959925174713135,13.483959406138522,0.0002
9,117,val,-5778.67504256811,-4610.2900390625,,,,,,0.0002
9,235,val,-5733.008933469085,-4640.0078125,,,,,,0.0002
9,353,val,-5660.164454646551,-4531.4765625,,,,,,0.0002
9,471,val,-5544.95519112427,-4175.80322265625,,,,,,0.0002
9,585,val,-5449.381103098286,-4031.269775390625,,,,,,0.0002
9,epoch_end,train,-5448.01586164142,,,,359.1557433613291,0.35219359397888184,13.04797777764416,0.0002
10,117,val,-4940.265220185634,-3795.97119140625,,,,,,0.0002
10,235,val,-4873.316430144618,-3598.33203125,,,,,,0.0002
10,353,val,-4795.915006556526,-3531.16796875,,,,,,0.0002
10,471,val,-4697.685973473163,-3622.845703125,,,,,,0.0002
10,585,val,-4607.555788010818,-3361.65576171875,,,,,,0.0002
10,epoch_end,train,-4607.183719153291,,,,356.8912981948065,0.37270188331604004,13.685959104630319,0.0002
11,117,val,-4107.587450337208,-2815.71826171875,,,,,,0.0002
11,235,val,-3952.7099017204146,-2818.98388671875,,,,,,0.0002
11,353,val,-3823.8610369544554,-2429.750732421875,,,,,,0.0002
11,471,val,-3714.5086045315857,-2528.171875,,,,,,0.0002
11,585,val,-3609.875005216683,-2406.58837890625,,,,,,0.0002
11,epoch_end,train,-3608.547796360058,,,,363.4620617384136,0.38948655128479004,13.980194982178313,0.0002
12,117,val,-3014.026283720619,-2039.0078125,,,,,,0.0002
12,235,val,-2876.818876745345,-2054.05126953125,,,,,,0.0002
12,353,val,-2804.2892651436346,-1843.2667236328125,,,,,,0.0002
12,471,val,-2748.5432465830677,-1538.11328125,,,,,,0.0002
12,585,val,-2659.3980241302743,-1314.1282958984375,,,,,,0.0002
12,epoch_end,train,-2657.722549386398,,,,355.22060895281015,0.37607884407043457,13.907785092927032,0.0002
13,117,val,-2224.9583176832934,-1180.90283203125,,,,,,0.0002
13,235,val,-2124.6673225565155,-1397.1263427734375,,,,,,0.0002
13,353,val,-2043.892689821064,-1084.642333984375,,,,,,0.0002
13,471,val,-1972.952285928583,-597.7931518554688,,,,,,0.0002
13,585,val,-1897.1737213917245,-516.0720825195312,,,,,,0.0002
13,epoch_end,train,-1895.8618313004924,,,,361.1473652950892,0.37423133850097656,13.661039305241225,0.0002
14,117,val,-1425.2597653641658,-462.9323425292969,,,,,,0.0002
14,235,val,-1365.0909562780507,-356.37725830078125,,,,,,0.0002
14,353,val,-1303.0855936369217,-142.4542999267578,,,,,,0.0002
14,471,val,-1211.2323703806362,154.40257263183594,,,,,,0.0002
14,585,val,-1136.701973117926,-142.459716796875,,,,,,0.0002
14,epoch_end,train,-1136.958677077049,,,,348.2740131305735,0.3906799554824829,13.877462371588887,0.0002
15,117,val,-667.6015220707296,109.09895324707031,,,,,,0.0002
15,235,val,-642.0188534675758,412.0763854980469,,,,,,0.0002
15,353,val,-632.6387364546906,160.92132568359375,,,,,,0.0002
15,471,val,-554.2172154550083,440.93096923828125,,,,,,0.0002
15,585,val,-509.13284678010825,480.5721130371094,,,,,,0.0002
15,epoch_end,train,-508.166682122917,,,,349.34764350920364,0.39207494258880615,13.80637661578521,0.0002
16,117,val,-215.89736801538706,595.68505859375,,,,,,0.0002
16,235,val,-169.886180715358,800.1743774414062,,,,,,0.0002
16,353,val,-119.54206775740928,563.578125,,,,,,0.0002
16,471,val,-50.42272888475157,869.5120849609375,,,,,,0.0002
16,585,val,11.0804617140029,857.0994262695312,,,,,,0.0002
16,epoch_end,train,10.386248598326674,,,,352.7348241846913,0.3858928382396698,13.872578879188259,0.0002
17,117,val,223.92804887559674,779.9033203125,,,,,,0.0002
17,235,val,306.93221967981225,979.8916015625,,,,,,0.0002
17,353,val,373.16927277130077,1206.075927734375,,,,,,0.0002
