epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
1,0,val,0.0,-3527472.75,,,,,,0.0002
1,117,val,-206001.79971287388,-17552.296875,,,,,,0.0002
1,235,val,-110668.3466464428,-15180.044921875,,,,,,0.0002
1,353,val,-78396.263345432,-13580.2607421875,,,,,,0.0002
1,471,val,-62175.10380797182,-13467.259765625,,,,,,0.0002
1,585,val,-52607.62050280457,-13184.0771484375,,,,,,0.0002
1,epoch_end,train,-52539.87820965772,,,,391.150705719208,0.14548137784004211,10.573892267735918,0.0002
2,117,val,-12983.410348223819,-12992.3212890625,,,,,,0.0002
2,235,val,-12976.351271609032,-12659.5537109375,,,,,,0.0002
2,353,val,-12877.33276436348,-13036.2734375,,,,,,0.0002
2,471,val,-12802.045715979953,-12312.0615234375,,,,,,0.0002
2,585,val,-12731.49006744123,-12339.8759765625,,,,,,0.0002
2,epoch_end,train,-12730.84285009598,,,,385.0667261476381,0.17526523768901825,11.517748643139335,0.0002
3,117,val,-12349.592614850428,-12324.361328125,,,,,,0.0002
3,235,val,-12188.936365525266,-11793.59765625,,,,,,0.0002
3,353,val,-12102.048487849683,-11526.0888671875,,,,,,0.0002
3,471,val,-11961.37437798568,-11772.0068359375,,,,,,0.0002
3,585,val,-11769.660735510159,-10456.7392578125,,,,,,0.0002
3,epoch_end,train,-11768.440188046618,,,,385.46263079618745,0.17841657996177673,11.573995933978797,0.0002
4,117,val,-10395.0811965812,-9832.3056640625,,,,,,0.0002
4,235,val,-10029.267037898933,-8842.8984375,,,,,,0.0002
4,353,val,-9744.452983910232,-8378.7978515625,,,,,,0.0002
4,471,val,-9432.53430823712,-7896.7041015625,,,,,,0.0002
4,585,val,-9153.978583233173,-7483.2763671875,,,,,,0.0002
4,epoch_end,train,-9149.843086737414,,,,375.393257006183,0.23957112431526184,11.900284373463347,0.0002
5,117,val,-7457.519681490384,-6766.056640625,,,,,,0.0002
5,235,val,-7263.326510555188,-6149.83349609375,,,,,,0.0002
5,353,val,-7114.729295768418,-6283.6767578125,,,,,,0.0002
5,471,val,-6969.461652816481,-5948.45458984375,,,,,,0.0002
5,585,val,-6821.109443442841,-5505.400390625,,,,,,0.0002
5,epoch_end,train,-6820.222707911155,,,,364.7480942876819,0.28720253705978394,12.206529005859482,0.0002
6,117,val,-5844.087039262821,-5091.91650390625,,,,,,0.0002
6,235,val,-5732.804668799873,-5090.71484375,,,,,,0.0002
6,353,val,-5579.354387061792,-4370.044921875,,,,,,0.0002
6,471,val,-5397.093267420552,-4126.525390625,,,,,,0.0002
6,585,val,-5214.197639556624,-3865.7099609375,,,,,,0.0002
6,epoch_end,train,-5212.542846263066,,,,374.45077295602243,0.2928040623664856,11.963730110643125,0.0002
7,117,val,-4074.568979116585,-3504.1923828125,,,,,,0.0002
7,235,val,-3991.204783078457,-3533.082275390625,,,,,,0.0002
7,353,val,-3897.403350743625,-3223.207763671875,,,,,,0.0002
7,471,val,-3796.6510375199036,-3069.81201171875,,,,,,0.0002
7,585,val,-3700.6110773070227,-2990.507568359375,,,,,,0.0002
7,epoch_end,train,-3700.5135623033525,,,,365.9497897533514,0.29069089889526367,11.67259195727571,0.0002
8,117,val,-3210.1214495275776,-2698.1826171875,,,,,,0.0002
8,235,val,-3117.110669464762,-2596.531494140625,,,,,,0.0002
8,353,val,-3034.4032528798916,-2641.77734375,,,,,,0.0002
8,471,val,-2950.3614932179707,-2452.555419921875,,,,,,0.0002
8,585,val,-2887.9870075454073,-2328.14404296875,,,,,,0.0002
8,epoch_end,train,-2888.535002933022,,,,369.36743401384786,0.30662456154823303,12.08264370599616,0.0002
9,117,val,-2558.299590803621,-2030.0609130859375,,,,,,0.0002
9,235,val,-2473.976984811336,-2153.56396484375,,,,,,0.0002
9,353,val,-2446.2558917080732,-2174.528564453125,,,,,,0.0002
9,471,val,-2385.3946176840755,-1947.0819091796875,,,,,,0.0002
9,585,val,-2347.4466013329666,-1717.3150634765625,,,,,,0.0002
9,epoch_end,train,-2348.0050595644802,,,,365.3725800330602,0.29640352725982666,11.474997634714313,0.0002
10,117,val,-2052.3158553685885,-1208.126220703125,,,,,,0.0002
10,235,val,-1992.0842983813993,-1432.4539794921875,,,,,,0.0002
10,353,val,-1949.8080944028854,-1407.4420166015625,,,,,,0.0002
10,471,val,-1850.5451273989022,-1436.8658447265625,,,,,,0.0002
10,585,val,-1761.8259498009322,-947.126220703125,,,,,,0.0002
10,epoch_end,train,-1760.4864961799915,,,,364.62760102248683,0.3144300580024719,12.222523530618444,0.0002
11,117,val,-1282.8917621058274,-662.730712890625,,,,,,0.0002
11,235,val,-1172.0644640983407,-404.0323486328125,,,,,,0.0002
11,353,val,-1044.1387814097625,-141.6165771484375,,,,,,0.0002
11,471,val,-900.8486115927393,-319.2169494628906,,,,,,0.0002
