Checkpoint,IWAE,KL (avg in checkpoint)
1,-3527472.75,23596.322760483316
2,-18209.39453125,390.7925112494107
3,-16265.9169921875,322.8122661195952
4,-14559.091796875,279.4638787631331
5,-13911.3818359375,251.68956796054184
6,-13332.048828125,229.1756232689167
7,-13494.9443359375,208.5126837368669
8,-13016.5849609375,190.60630601027916
9,-12904.69921875,178.42598263970737
10,-12463.8935546875,165.7860027181691
11,-13011.4404296875,156.3168329699286
12,-12965.875,145.47423125957621
13,-12535.802734375,136.22591511956577
14,-12242.48046875,128.47127690808526
15,-12342.0703125,122.44863076045596
16,-12065.8251953125,114.68908993951206
17,-11864.7666015625,109.05014748408877
18,-12049.072265625,103.42739815547549
19,-11698.8681640625,98.46745135866362
20,-11599.3310546875,95.68358835680732
21,-10873.2177734375,90.54580254390322
22,-10939.130859375,86.876858744128
23,-10388.408203125,83.31524230693948
24,-9659.439453125,80.25618717588227
25,-9268.146484375,77.12562653114055
26,-8335.78125,75.66595958841258
27,-7634.2763671875,77.22919970545276
28,-7157.36328125,78.32104097563645
29,-7238.5224609375,81.18061585261904
30,-6797.2451171875,83.45495408156822
31,-6560.38916015625,82.46999109202417
32,-6410.33642578125,82.60390084365318
33,-5831.29638671875,81.14589881896973
34,-5450.36328125,80.49496124530661
35,-5100.69775390625,81.05552232676538
36,-4790.265625,81.70473085600754
37,-4586.50244140625,82.69091474598852
38,-4360.58203125,84.11987968970989
39,-4146.21044921875,85.9375821475325
40,-3647.53125,90.64094924926758
41,-3588.719970703125,97.56675555788237
42,-3298.0390625,102.53504476876094
43,-3349.04150390625,104.94061075407883
44,-3039.604736328125,104.85078883993215
45,-2626.691162109375,104.94958121201088
46,-2641.584716796875,104.28029119557348
47,-2312.069580078125,102.76648850276553
48,-2425.249755859375,101.85711064831963
49,-1864.12744140625,100.5765880716258
50,-2036.810302734375,98.85928535461426
51,-2045.056640625,96.52405363937905
52,-1483.544677734375,94.61681984210837
53,-1639.7078857421875,93.3571706311456
54,-1407.636962890625,93.01758549131196
55,-1419.16845703125,92.00015824416587
56,-942.6804809570312,91.23151371396821
57,-804.143310546875,90.69297224899819
58,-805.4482421875,91.89453006612844
59,-611.529052734375,91.94316719318259
60,-491.5299072265625,91.46972333973852
61,-194.63156127929688,91.60663052262932
62,182.44949340820312,90.15592068639295
63,-21.851598739624023,90.66742048592403
64,200.19534301757812,90.55077572526604
65,50.14311218261719,91.9313469590812
66,262.86993408203125,90.82968277766787
67,577.5363159179688,88.05842610063225
68,852.4230346679688,88.09266412669214
69,650.3023681640625,86.01364648753199
70,800.3471069335938,84.71058477204421
71,1150.210693359375,84.97317800850703
72,971.6334228515625,86.73760519356563
73,1296.60791015625,86.92806829255203
74,1484.034912109375,86.76994534196525
75,1478.630126953125,84.63918363636938
76,1252.2493896484375,84.25668670391214
77,1712.1785888671875,83.00050571047026
78,1696.6068115234375,83.22522571169097
79,1734.169921875,82.12381099832469
80,1454.13623046875,81.00717906294197
81,2177.114013671875,81.97690023224929
82,2030.2716064453125,83.5849030593346
83,1846.709228515625,82.64521914515002
84,1842.1568603515625,82.30203431228111
85,2512.065673828125,81.88162566875589
86,2179.695068359375,83.86206251999428
87,2340.34423828125,86.34349132406301
88,2706.18701171875,84.99305481746279
89,2849.46142578125,85.35033594328782
90,2381.6123046875,85.1323636811355
91,2947.515380859375,86.37360855628704
92,3060.080078125,86.86720631040376
93,2741.37646484375,87.45712273696373
94,3022.13818359375,87.18658664308745
95,2949.803466796875,87.68484312912514
96,3051.019287109375,88.72865295410156
97,3380.8154296875,87.86738981049636
98,3153.553955078125,86.24377059936523
99,3052.28955078125,87.32350842706089
100,3289.453125,86.53654453672212
101,3706.6708984375,85.40564905363938
102,3244.61376953125,85.94033820053627
103,3361.43017578125,84.46241622135557
104,3345.781982421875,84.09588517813847
105,3426.743408203125,84.88422189909836
106,3401.488525390625,87.17370579160493
107,3498.611328125,89.04216694009715
108,3902.681396484375,89.26591425928576
109,3757.59912109375,89.68827076615959
110,3781.82666015625,90.4892692565918
111,3826.1962890625,90.93731847302666
112,4064.7373046875,92.10224750124175
113,3660.125,91.74500228618753
114,4042.42333984375,91.89159715586695
115,3976.61181640625,92.0536652926741
116,4212.6259765625,90.56251775807348
117,4349.24072265625,89.91634750366211
118,4158.81982421875,89.43026608434216
119,4445.40625,90.15039976711931
120,4304.35595703125,89.67124222064841
121,4239.46435546875,89.890692151826
122,4445.9072265625,88.63714382566255
123,4666.7509765625,89.86407148426977
124,4340.0244140625,89.9295460931186
125,4641.7548828125,89.92917521246548
126,4877.84814453125,91.25524751071272
