Epoch,Validation IWAE,Train VLB,Reconstruction Error,KL Term,Alpha
1,-3256365.0,0.0,-26409.757472826088,49361.740961931755,0.9985679301662721
2,-18905.505859375,-75235.46529017859,-17442.796195652172,415.72343776537025,0.9982871223187101
3,-16050.51953125,-46274.173987422466,-15808.314580502718,368.68968709309894,0.9982592411663221
4,-15424.8984375,-36172.3695321713,-14950.468551856884,358.18064062146175,0.9982274382010751
5,-14603.015625,-30933.327821333944,-14440.603444859602,360.4967416956805,0.9981906897779824
6,-14319.994140625,-27795.62718683228,-14045.29006736866,390.3576549585315,0.9981467758399852
7,-14012.3857421875,-14384.787625558034,-13666.054446897644,418.80677286783856,0.9980939488480056
8,-13986.072265625,-14222.298835050975,-13335.65041893116,438.411561385445,0.99803268218386
9,-13585.3076171875,-14063.181940042752,-13031.990899569746,456.11108575350994,0.9979626847350079
10,-13540.236328125,-13915.638992794844,-13209.862729279892,468.11523702870244,0.997884460117506
11,-13240.74609375,-13857.762469951931,-12926.23189821105,477.8030453004699,0.9977984411129053
12,-13200.970703125,-13366.877678571425,-12986.628297667572,490.0216391743093,0.99770447568617
13,-13141.501953125,-13439.487276983595,-12988.985422327898,500.9057077601336,0.9976017423298048
14,-13351.3046875,-13467.378749631478,-13037.96533910779,507.62027331366056,0.9974910020828247
15,-13049.2568359375,-13486.35405739288,-12990.125268908514,515.0551452636719,0.9973721970682559
16,-13162.46484375,-13489.458987157215,-12970.38087352808,518.1876977008322,0.9972451242847719
17,-13170.017578125,-13449.327301897323,-12925.84029664855,520.9021690479224,0.9971101914626964
18,-13089.4873046875,-13478.052138741135,-12962.721481544384,522.4452501379925,0.9969679048095924
19,-12993.9599609375,-13479.03626639888,-12975.556753849638,523.4987080891927,0.9968181330224742
20,-13179.9453125,-13448.150663234323,-12678.626132246376,520.1125457321389,0.9966609719870747
21,-13217.8798828125,-13434.07653634704,-12930.110266644022,522.559109452842,0.9964970488479172
22,-12483.693359375,-13474.580398995535,-12933.049521625906,519.3466721686764,0.9963255965191385
23,-13065.205078125,-13419.009453956112,-12948.79787986866,514.5408541914345,0.9961475341216378
24,-13560.724609375,-13377.272834058076,-12642.465523097826,513.8107317496037,0.9959625558576722
25,-13239.4267578125,-13367.660211462007,-12826.427097486414,510.0290239859318,0.9957704259001691
26,-13352.1484375,-13318.971170539528,-12698.051347373188,504.79083561551744,0.9955714569575544
27,-12792.3681640625,-13294.293847656247,-12674.131439651268,501.57892243758494,0.995366190654644
