Epoch,weight_lpips,weight_adv,weight_con
3,0.8883004784584045,0.7734595537185669,0.6042004227638245
4,0.8297396302223206,0.7032217979431152,0.547174870967865
5,0.7767766118049622,0.6373660564422607,0.4975329339504242
6,0.7321602702140808,0.5765352845191956,0.4535139799118042
7,0.695625364780426,0.5280844569206238,0.4142732620239258
8,0.6674848198890686,0.48151370882987976,0.37865573167800903
9,0.6465561389923096,0.43919721245765686,0.34694427251815796
10,0.6276154518127441,0.4016660451889038,0.31794267892837524
11,0.6173625588417053,0.36489373445510864,0.2915556728839874
12,2.2465550899505615,2.279193162918091,2.111116647720337
13,0.6120613217353821,0.33193036913871765,0.2683005928993225
14,0.6089162230491638,0.3023182153701782,0.24706509709358215
15,0.6096206307411194,0.27609795331954956,0.22827300429344177
16,0.6204498410224915,0.253468781709671,0.211642786860466
17,0.6341146230697632,0.23162783682346344,0.19681300222873688
18,0.6470356583595276,0.21229778230190277,0.18363527953624725
19,2.1090548038482666,2.1470606327056885,1.8975833654403687
20,1.9730218648910522,2.0518529415130615,1.718114972114563
21,1.8432350158691406,1.946907877922058,1.563251256942749
22,1.4751030206680298,1.3741037845611572,1.1479417085647583
23,1.2840667963027954,1.1859816312789917,0.9668127298355103
24,1.151142954826355,1.050547480583191,0.8427234292030334
25,1.0456516742706299,0.9427326917648315,0.7478229999542236
