epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,lr
14,117,val,2684.2251299996656,-492492.6875,,,,,,0.0002
14,235,val,2742.5549155377325,-979079.25,,,,,,0.0002
14,353,val,2791.3389266665185,-493276.875,,,,,,0.0002
14,471,val,2812.358466859078,-290667.46875,,,,,,0.0002
14,585,val,2813.810243890225,-788825.3125,,,,,,0.0002
14,epoch_end,train,2814.957869077299,,,,343.94334654251327,0.319220095872879,11.750420061057463,0.0002
15,117,val,3031.2235451722768,-466136.3125,,,,,,0.0002
15,235,val,3046.722059923539,-684501.25,,,,,,0.0002
15,353,val,3094.8018179831383,-607579.25,,,,,,0.0002
15,471,val,3136.593736004681,-877772.5625,,,,,,0.0002
15,585,val,3164.7165122529395,-336035.9375,,,,,,0.0002
15,epoch_end,train,3164.5671386718764,,,,340.23897671103526,0.3258548378944397,11.715016559395004,0.0002
16,117,val,3295.8342159955937,-690666.4375,,,,,,0.0002
16,235,val,3370.328976375498,-432144.3125,,,,,,0.0002
16,353,val,3418.497884690929,-191228.03125,,,,,,0.0002
16,471,val,3448.194505695576,-298708.9375,,,,,,0.0002
16,585,val,3472.281198250534,-581203.8125,,,,,,0.0002
16,epoch_end,train,3472.517429807487,,,,332.32631530865945,0.3233094811439514,11.792275986898144,0.0002
17,117,val,3684.81269823384,-474188.4375,,,,,,0.0002
17,235,val,3628.7281250000015,-188851.578125,,,,,,0.0002
17,353,val,3657.717707733932,-335394.9375,,,,,,0.0002
17,471,val,3676.574298315997,-479321.3125,,,,,,0.0002
17,585,val,3728.607692516357,-202929.125,,,,,,0.0002
17,epoch_end,train,3731.035463092267,,,,343.0036389693206,0.3486436009407043,12.31667432683787,0.0002
18,117,val,3922.310106587206,-393.8370361328125,,,,,,0.0002
18,235,val,3996.96893700133,1002.8145751953124,,,,,,0.0002
18,353,val,4035.428661141111,1012.3997802734376,,,,,,0.0002
18,471,val,4048.1641179629455,1300.5257568359375,,,,,,0.0002
18,585,val,4059.209739332935,1280.23486328125,,,,,,0.0002
18,epoch_end,train,4059.278180744056,,,,342.0216784623784,0.35313481092453,12.363084612522895,0.0002
19,117,val,4180.228261051015,1206.1966552734375,,,,,,0.0002
19,235,val,4184.619272564828,1589.955810546875,,,,,,0.0002
19,353,val,4232.819120153151,1747.38623046875,,,,,,0.0002
19,471,val,4246.234385885251,1691.4520263671875,,,,,,0.0002
19,585,val,4293.262552166797,1363.926513671875,,,,,,0.0002
19,epoch_end,train,4295.179246297058,,,,335.4969190603677,0.3459337055683136,12.018756486924408,0.0002
20,117,val,4502.354796841611,1762.25634765625,,,,,,0.0002
20,235,val,4551.327015458776,1254.23779296875,,,,,,0.0002
20,353,val,4546.30616202638,1812.4971923828125,,,,,,0.0002
20,471,val,4558.504487833401,1947.8663330078125,,,,,,0.0002
20,585,val,4599.520914713542,1957.7919921875,,,,,,0.0002
20,epoch_end,train,4598.66816331258,,,,330.99570617246275,0.3482406139373779,11.9640547096407,0.0002
21,117,val,4781.134296123796,1737.9351806640625,,,,,,0.0002
21,235,val,4786.620771692152,2003.180419921875,,,,,,0.0002
21,353,val,4821.057793549704,2161.345703125,,,,,,0.0002
21,471,val,4814.119796331769,2306.75439453125,,,,,,0.0002
21,585,val,4807.658916349489,2218.21240234375,,,,,,0.0002
21,epoch_end,train,4807.18968018411,,,,340.9644754776113,0.3610681295394897,12.10207711477403,0.0002
22,117,val,5053.628119574652,2436.8232421875,,,,,,0.0002
22,235,val,4987.879083901266,1911.978515625,,,,,,0.0002
22,353,val,4949.205279385402,1518.3521728515625,,,,,,0.0002
22,471,val,4961.9728034600585,2043.9642333984373,,,,,,0.0002
22,585,val,4991.349331430288,1957.9560546875,,,,,,0.0002
22,epoch_end,train,4991.039743260718,,,,332.747804693514,0.3409626483917236,11.816457829941704,0.0002
23,117,val,5144.946107522036,2588.6328125,,,,,,0.0002
23,235,val,5082.4519302692825,2481.03125,,,,,,0.0002
23,353,val,5117.030469856584,2331.569091796875,,,,,,0.0002
23,471,val,5119.996024810079,2371.942626953125,,,,,,0.0002
23,585,val,5139.390764389687,2150.292236328125,,,,,,0.0002
23,epoch_end,train,5139.533490594334,,,,327.4745350821046,0.356842964887619,12.066498854195745,0.0002
24,117,val,5324.433318309299,2428.962158203125,,,,,,0.0002
24,235,val,5311.7721627742685,2354.5849609375,,,,,,0.0002
24,353,val,5307.293744743714,2110.798828125,,,,,,0.0002
24,471,val,5318.77544038615,2646.174560546875,,,,,,0.0002
24,585,val,5321.707820846693,2483.618896484375,,,,,,0.0002
24,epoch_end,train,5321.530719223288,,,,317.9510606673675,0.3418754637241363,11.761870564182408,0.0002
25,117,val,5372.795556223292,2168.8544921875,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
25,235,val,5448.373918508977,2646.809814453125,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
25,353,val,5483.977483733175,2159.19873046875,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
25,471,val,5499.4859243340325,2597.122314453125,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
25,585,val,5503.811469184027,2575.766845703125,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
25,epoch_end,train,5502.638062773304,,,,56.607916929037515,0.7574329174590119,20.58270817867551,0.0002
