Image ID,LPIPS
00000,0.3382854759693146
00001,0.03832698613405228
00002,0.2009386569261551
00003,0.31239795684814453
00004,0.25924229621887207
00005,0.18752707540988922
00006,0.08610115200281143
00007,0.027175165712833405
00008,0.22847379744052887
00009,0.312458336353302
00010,0.33032065629959106
00011,0.23812691867351532
00012,0.2853902280330658
00013,0.21601548790931702
00014,0.13157612085342407
00015,0.2759724259376526
00016,0.03432834893465042
00017,0.3790457546710968
00018,0.27105623483657837
00019,0.45914149284362793
00020,0.24117732048034668
00021,0.059359725564718246
00022,0.058352597057819366
00023,0.23622813820838928
00024,0.15819601714611053
00025,0.07959479838609695
00026,0.2329925000667572
00027,0.17345121502876282
00028,0.1835429072380066
00029,0.13378559052944183
00030,0.23319417238235474
00031,0.22859817743301392
00032,0.2529480755329132
00033,0.3572500944137573
00034,0.16607147455215454
00035,0.3658277988433838
00036,0.06641590595245361
00037,0.4341753423213959
00038,0.022584231570363045
00039,0.04222417250275612
00040,0.39222976565361023
00041,0.17952771484851837
00042,0.3571765720844269
00043,0.03876890987157822
00044,0.10634312033653259
00045,0.16810375452041626
00046,0.23815834522247314
00047,0.22761715948581696
00048,0.0792926698923111
00049,0.44057023525238037
00050,0.24574613571166992
00051,0.18143868446350098
00052,0.2510070502758026
00053,0.25810331106185913
00054,0.12096547335386276
00055,0.1233523041009903
00056,0.3465877175331116
00057,0.17247481644153595
00058,0.2978746294975281
00059,0.29276004433631897
00060,0.17920073866844177
00061,0.4225046634674072
00062,0.06054094433784485
00063,0.12872973084449768
00064,0.10299734771251678
00065,0.2308937907218933
00066,0.22657909989356995
00067,0.23492848873138428
00068,0.12731178104877472
00069,0.15198859572410583
00070,0.0660712867975235
00071,0.08485820144414902
00072,0.22076454758644104
00073,0.23396457731723785
00074,0.19536910951137543
00075,0.3141483962535858
00076,0.1373305767774582
00077,0.1580967754125595
00078,0.25975456833839417
00079,0.29209819436073303
00080,0.20198626816272736
00081,0.21262997388839722
00082,0.3439953923225403
00083,0.1951068788766861
00084,0.06935587525367737
00085,0.15560853481292725
00086,0.3973437547683716
00087,0.24766068160533905
00088,0.1377933770418167
00089,0.19708150625228882
00090,0.03210483118891716
00091,0.04126334190368652
00092,0.2835604250431061
00093,0.3504120707511902
00094,0.42541754245758057
00095,0.3090662956237793
00096,0.25973230600357056
00097,0.07901177555322647
00098,0.04078058525919914
00099,0.13121633231639862
00100,0.10994300991296768
00101,0.32068389654159546
00102,0.21755491197109222
00103,0.23437784612178802
00104,0.3530638813972473
00105,0.28596630692481995
00106,0.1823911815881729
00107,0.25493961572647095
00108,0.2396794557571411
00109,0.0650702491402626
00110,0.32606589794158936
00111,0.17590992152690887
00112,0.05402189493179321
00113,0.10799342393875122
00114,0.36797285079956055
00115,0.23978137969970703
00116,0.43354612588882446
00117,0.23939545452594757
00118,0.04061643034219742
00119,0.18196964263916016
00120,0.1816086769104004
00121,0.34824803471565247
00122,0.13603244721889496
00123,0.29942598938941956
00124,0.2358301728963852
00125,0.20162732899188995
00126,0.040496960282325745
00127,0.2664835751056671
00128,0.22065159678459167
00129,0.25561362504959106
00130,0.10395732522010803
00131,0.3877006471157074
00132,0.03567637503147125
00133,0.039353713393211365
00134,0.2152678519487381
00135,0.25590094923973083
00136,0.15819188952445984
00137,0.12125139683485031
00138,0.386522501707077
00139,0.20005285739898682
00140,0.25207310914993286
00141,0.23830893635749817
00142,0.17526037991046906
00143,0.06733707338571548
00144,0.18964651226997375
00145,0.24389132857322693
00146,0.12283675372600555
00147,0.07002581655979156
00148,0.22915737330913544
00149,0.2520672082901001
00150,0.09531033784151077
00151,0.10975944995880127
00152,0.19853129982948303
00153,0.08546046912670135
00154,0.13789255917072296
00155,0.2912169396877289
00156,0.28521087765693665
00157,0.12317768484354019
00158,0.202392116189003
00159,0.2238246649503708
