Image ID,SSIM,PSNR,LPIPS
00000,0.95828676,28.71364520086328,0.04581792280077934
00001,0.6392551,16.455791867441043,0.29323896765708923
00002,0.92355555,29.20112705792745,0.06576233357191086
00003,0.70120007,21.678731574396906,0.2514226734638214
00004,0.90350705,23.012153355512517,0.08161541819572449
00005,0.7887287,18.781921185851296,0.22065243124961853
00006,0.66013974,14.225024145889687,0.24475184082984924
00007,0.6798584,20.880051263462846,0.2708159387111664
00008,0.6607177,15.332188441007613,0.2883715033531189
00009,0.8182426,18.673403951541903,0.16470018029212952
00010,0.8655513,20.179181923040808,0.16531822085380554
00011,0.747261,21.20364625698005,0.2693767845630646
00012,0.8911209,23.97453063151515,0.09045534580945969
00013,0.7449703,14.603961310913343,0.22254012525081635
00014,0.6200733,18.20441399392073,0.29194962978363037
00015,0.88138413,22.86901258495417,0.12235447764396667
00016,0.8822692,22.614780551221063,0.09129505604505539
00017,0.9305981,28.706961898624442,0.07358801364898682
00018,0.6365271,18.024043674043863,0.3394271433353424
00019,0.7714102,20.03410435851755,0.18767955899238586
00020,0.8822027,20.518243724475465,0.10988064110279083
00021,0.8728175,23.977825483622233,0.1525130718946457
00022,0.8492062,19.946210029384957,0.12988045811653137
00023,0.7094202,14.985421236222702,0.28041714429855347
00024,0.95709616,25.231394744465266,0.06300419569015503
00025,0.7909824,18.838744667551904,0.1961427628993988
00026,0.906534,25.229034349777194,0.0970693826675415
00027,0.6807224,15.057165741757203,0.28416773676872253
00028,0.86309713,25.09879455573499,0.16464747488498688
00029,0.7272332,20.311962030012694,0.264396607875824
00030,0.6900572,16.20681947876775,0.21159765124320984
00031,0.48538566,15.662931045883164,0.4435076117515564
00032,0.802658,14.323670003094232,0.13071763515472412
00033,0.6237476,13.239845911675136,0.3049168586730957
00034,0.69559765,18.047861918131968,0.2626589238643646
00035,0.95246977,25.74188316981825,0.0872221440076828
00036,0.6465089,14.115377272709416,0.30995428562164307
00037,0.76491976,20.337727652173278,0.16552279889583588
00038,0.6362138,13.612845010128844,0.2994357943534851
00039,0.7829543,19.854423473909208,0.16399937868118286
00040,0.9649481,25.928566978360273,0.033080220222473145
00041,0.8409484,22.715968241615858,0.12570594251155853
00042,0.7079454,17.522558111638553,0.3260483145713806
00043,0.8852468,26.323229480485203,0.1318712830543518
00044,0.9166143,28.44923783026074,0.07498214393854141
00045,0.908163,25.33099709918051,0.1072390228509903
00046,0.72755927,19.99933006739851,0.1974203884601593
00047,0.6575683,20.198638765988598,0.28418540954589844
00048,0.8814201,19.63267891357195,0.09668369591236115
00049,0.6635086,16.39530950270539,0.3377160429954529
00050,0.7562346,18.78462037460072,0.21435540914535522
00051,0.63109666,15.297753182914246,0.304325133562088
