epoch,step,split,train_vlb,val_iwae,recon,kl,fid,ssim,psnr,alpha,lr,grad_total,grad_model
4,117,val,-12602.875751201924,-11864.7666015625,-11568.0947265625,104.4040069580078,385.971431651688,0.1305226385593414,10.068809001878671,1.0,0.0002,7.36884170165399,7.36884170165399
4,235,val,-12502.01821392952,-12049.072265625,-13419.5029296875,102.74688720703124,382.1446705556844,0.1241090297698974,9.937047077615436,1.0,0.0002,5.41105147463748,5.41105147463748
4,353,val,-12398.63361200868,-11698.8681640625,-12116.390625,101.96272277832033,366.1668170627376,0.1262140423059463,10.088677355762044,1.0,0.0002,8.188624050936413,8.188624050936413
4,471,val,-12265.40213641188,-11599.3310546875,-12037.873046875,95.82698059082033,378.65267283479,0.1270881593227386,10.225320124332178,1.0,0.0002,10.551644215556797,10.551644215556797
4,585,val,-12164.796322449243,-10873.2177734375,-11139.947265625,88.54156494140625,378.2926147525867,0.1213926374912262,10.39735577952603,1.0,0.0002,6.397627747582571,6.397627747582571
4,epoch_end,train,-12164.31605628732,,-11760.5341796875,93.62894439697266,369.18558787668576,0.1236870884895324,10.247805734285333,1.0,0.0002,8.74575492200207,8.74575492200207
5,117,val,-11260.425939837074,-10939.130859375,-11042.7158203125,77.8335952758789,370.56284542360186,0.1346843689680099,10.237408185008771,1.0,0.0002,17.783696561535255,17.783696561535255
5,235,val,-10954.224559507984,-10388.408203125,-10351.619140625,82.25140380859375,376.4517317476286,0.1406367868185043,10.409234055884273,1.0,0.0002,16.118863931883343,16.118863931883343
5,353,val,-10726.830540124827,-9659.439453125,-9273.6640625,83.14363098144531,369.0561018289725,0.1500742733478546,10.621377509884685,1.0,0.0002,12.125852245864376,12.125852245864376
5,471,val,-10515.026994385293,-9268.146484375,-8518.0380859375,74.16529846191406,374.2875258063205,0.1572920382022857,10.97342845022946,1.0,0.0002,7.109477326700106,7.109477326700106
5,585,val,-10302.51121711406,-8335.78125,-8082.49755859375,74.50694274902344,365.99029968282144,0.1636407077312469,10.826337232485027,1.0,0.0002,31.901924597274835,31.901924597274835
5,epoch_end,train,-10298.82253476297,,-8095.7373046875,70.32882690429688,382.3568057662791,0.1673731505870819,10.639494170729966,1.0,0.0002,9.076823498391906,9.076823498391906
6,117,val,-8861.713716947115,-7634.2763671875,-8106.3984375,70.44825744628906,367.1932699031972,0.1753014922142028,11.200761673301844,1.0,0.0002,12.176869016217127,12.176869016217127
6,235,val,-8692.962121841752,-7157.36328125,-8145.484375,78.33470153808594,380.98329084798416,0.1734878122806549,10.92627425732698,1.0,0.0002,52.48169913013018,52.48169913013018
6,353,val,-8479.008728200244,-7238.5224609375,-7120.46826171875,82.255615234375,368.3774118338478,0.1893470287322998,11.26506704898468,1.0,0.0002,14.12308722709154,14.12308722709154
6,471,val,-8238.257567841029,-6797.2451171875,-8385.1611328125,85.79265594482422,361.8025198282237,0.1996173560619354,11.555141620242804,1.0,0.0002,13.010327823940592,13.010327823940592
6,585,val,-8035.571200587602,-6560.38916015625,-7258.99609375,80.89091491699219,371.45341203745306,0.1958989650011062,11.15864171679815,1.0,0.0002,14.963123299215065,14.963123299215065
6,epoch_end,train,-8033.900531443308,,-6940.21533203125,78.3724365234375,377.1184305904824,0.2033885717391967,11.201262731130818,1.0,0.0002,11.167254290975205,11.167254290975205
7,117,val,-6863.221880008014,-6410.33642578125,-7229.775390625,86.51301574707031,376.1579939529046,0.2095319628715515,11.305002818761306,1.0,0.0002,12.341351610987909,12.341351610987909
7,235,val,-6778.2605593417575,-5831.29638671875,-6749.375,84.15713500976562,375.9924012102825,0.2043933570384979,11.185450769969728,1.0,0.0002,13.900918186143231,13.900918186143231
7,353,val,-6619.910493758856,-5450.36328125,-6418.3525390625,78.58361053466797,359.50915383501115,0.2101156413555145,11.125412401312865,1.0,0.0002,10.514687858975806,10.514687858975806
7,471,val,-6481.843052307258,-5100.69775390625,-6289.90234375,80.54292297363281,368.8812945555252,0.2095450162887573,10.962796367181838,1.0,0.0002,7.269841080696039,7.269841080696039
7,585,val,-6348.630603966346,-4790.265625,-5777.0654296875,83.81620025634766,377.72914672033255,0.2254657596349716,11.26421481611242,1.0,0.0002,15.226977302234554,15.226977302234554
7,epoch_end,train,-6345.800448785462,,-4644.0791015625,79.74502563476562,372.2343566102976,0.2177521139383316,11.072547598747311,1.0,0.0002,11.234616670570018,11.234616670570018
8,117,val,-5470.465824485842,-4586.50244140625,-5144.267578125,82.08280944824219,372.2509457513128,0.2408931702375412,11.37273317488339,1.0,0.0002,11.499322183099888,11.499322183099888
8,235,val,-5376.968273146607,-4360.58203125,-4996.7470703125,83.10624694824219,369.2056832880223,0.237845093011856,11.360028881135085,1.0,0.0002,7.13635013208496,7.13635013208496
8,353,val,-5236.490625138319,-4146.21044921875,-4343.98291015625,86.99525451660156,367.9078524404269,0.2412708103656768,11.42009805637429,1.0,0.0002,10.71291333248125,10.71291333248125
8,471,val,-5065.947589590792,-3647.53125,-3921.87451171875,88.14508056640625,366.5188561815488,0.2455628812313079,11.184953166126483,1.0,0.0002,5.534793479054866,5.534793479054866
8,585,val,-4938.8539388020745,-3588.719970703125,-4020.264892578125,93.70559692382812,357.30774755642256,0.2505583167076111,11.135326427986406,1.0,0.0002,6.845559135711898,6.845559135711898
8,epoch_end,train,-4939.587113207916,,-5129.14697265625,99.19055938720705,360.0436900882187,0.2436016947031021,11.27489363109041,1.0,0.0002,7.896597950778351,7.896597950778351
9,117,val,-4130.883284087874,-3298.0390625,-3902.536376953125,102.66976928710938,362.0000352821892,0.2584362626075744,11.56346715257779,1.0,0.0002,6.290777745003206,6.290777745003206
9,235,val,-3979.7171677609713,-3349.04150390625,-2058.251708984375,104.31411743164062,366.0958647913921,0.2506794333457947,11.27461316071905,1.0,0.0002,4.600480625985028,4.600480625985028
9,353,val,-3867.9961885014623,-3039.604736328125,-3586.105224609375,105.96987915039062,361.1611682959529,0.2505603730678558,10.983552729647291,1.0,0.0002,7.883454417263467,7.883454417263467
9,471,val,-3771.560056002023,-2626.691162109375,-2902.0244140625,102.63082885742188,361.52642654064965,0.2670256793498993,11.362463972033195,1.0,0.0002,5.5699951285096505,5.5699951285096505
9,585,val,-3687.3807800814616,-2641.584716796875,-3188.3798828125,108.30422973632812,363.6762551418885,0.253150999546051,10.866646737067512,1.0,0.0002,5.584430802984073,5.584430802984073
9,epoch_end,train,-3686.0147030150097,,-2799.091796875,107.01057434082033,363.8087585124866,0.2643079161643982,11.407588052705618,1.0,0.0002,6.2828318874607705,6.2828318874607705
10,117,val,-3017.0399242955395,-2312.069580078125,-3163.7802734375,103.41587829589844,349.8771483585017,0.267576515674591,11.49768900843461,1.0,0.0002,4.598895886101313,4.598895886101313
10,235,val,-3024.170205493684,-2425.249755859375,-3496.5966796875,105.01653289794922,373.9824809088289,0.2701274752616882,11.530186154326842,1.0,0.0002,6.142183730691683,6.142183730691683
10,353,val,-2938.950976493336,-1864.12744140625,-2800.1865234375,97.50740814208984,362.29526374010527,0.2638696432113647,11.080912788225389,1.0,0.0002,6.24915013610568,6.24915013610568
10,471,val,-2817.1857925706568,-2036.810302734375,-2326.9169921875,105.3168716430664,358.398377777411,0.2710970342159271,11.329696388338869,1.0,0.0002,4.07598048987014,4.07598048987014
10,585,val,-2732.5965426974776,-2045.056640625,-2522.36767578125,98.66730499267578,362.890962357364,0.2702657878398895,11.130217643040524,1.0,0.0002,5.848996252972794,5.848996252972794
10,epoch_end,train,-2731.7478317937703,,-2103.44384765625,98.45286560058594,357.5441053598031,0.2742416858673095,11.303170084874054,1.0,0.0002,7.499766165101303,7.499766165101303
11,117,val,-2247.08786714994,-1483.544677734375,-1187.694580078125,90.10430908203124,364.1965097117182,0.2669172286987304,11.059601222281003,1.0,0.0002,6.960917302659971,6.960917302659971
11,235,val,-2169.4295269905265,-1639.7078857421875,-2036.824951171875,93.20411682128906,363.8147477427965,0.2752948105335235,11.232354754248258,1.0,0.0002,4.40133892560515,4.40133892560515
11,353,val,-2067.8228205607907,-1407.636962890625,-1287.22607421875,91.21587371826172,361.085716546536,0.2741371393203735,11.425783655791784,1.0,0.0002,4.282204613202329,4.282204613202329
11,471,val,-1999.239464567472,-1419.16845703125,-1297.783203125,89.3381576538086,364.7893123307864,0.270423412322998,11.19530160574765,1.0,0.0002,4.396318378043216,4.396318378043216
11,585,val,-1923.542063343016,-942.6804809570312,-1027.066650390625,90.67029571533205,353.04667339396724,0.2688018083572387,11.132193259308028,1.0,0.0002,5.201824870767278,5.201824870767278
11,epoch_end,train,-1923.2952718376707,,-1544.7562255859375,91.40861511230467,362.14496764371233,0.2683522701263428,10.606571482267729,1.0,0.0002,7.802653356570381,7.802653356570381
12,117,val,-1503.8886437049282,-804.143310546875,-1047.7283935546875,90.64007568359376,361.6088253044153,0.269661009311676,10.997217891884995,1.0,0.0002,4.784204821948742,4.784204821948742
12,235,val,-1399.5972706896198,-805.4482421875,-961.3497924804688,90.40798950195312,359.9156683325689,0.2738696932792663,11.21501769764316,1.0,0.0002,7.927340689791808,7.927340689791808
12,353,val,-1340.2281895926587,-611.529052734375,-482.298828125,91.39686584472656,365.2068902410058,0.2798060178756714,11.288126300003087,1.0,0.0002,4.50517935759353,4.50517935759353
12,471,val,-1241.6525469575463,-491.5299072265625,123.86485290527344,89.95272064208984,364.3356135622666,0.2756015658378601,11.15986402164502,1.0,0.0002,5.4029591688572,5.4029591688572
12,585,val,-1166.4671196831594,-194.63156127929688,-420.1015930175781,90.64454650878906,373.8615886338499,0.2785392701625824,11.074060498865297,1.0,0.0002,3.476875169053845,3.476875169053845
12,epoch_end,train,-1167.4332517031512,,-1510.56298828125,94.03426361083984,364.3130382985207,0.274401307106018,11.16746983958504,1.0,0.0002,5.469274577811959,5.469274577811959
13,117,val,-784.9137698442509,182.44949340820312,-1259.0560302734375,91.71187591552734,369.1958689491171,0.2750460505485534,11.073637124789702,1.0,0.0002,4.199578034116412,4.199578034116412
13,235,val,-677.947160696476,-21.851598739624023,-99.39415740966795,92.48050689697266,372.5291844725538,0.27970752120018,11.201624422259304,1.0,0.0002,3.5292342220709645,3.5292342220709645
13,353,val,-558.3278909094264,200.19534301757807,-752.9127197265625,90.68458557128906,367.430056175018,0.2863279283046722,11.27594322151294,1.0,0.0002,6.469314110193362,6.469314110193362
13,471,val,-495.9115539518377,50.14311218261719,395.0799560546875,89.18385314941406,362.61840172012194,0.2867966890335083,11.372393999301766,1.0,0.0002,4.00084809395586,4.00084809395586
13,585,val,-405.6177096766279,262.86993408203125,142.36717224121094,90.7380599975586,367.5487563643264,0.2854933142662048,11.172461803991595,1.0,0.0002,3.854779666197305,3.854779666197305
13,epoch_end,train,-405.7744821672141,,-296.42291259765625,90.72625732421876,364.3765080507658,0.2693833708763122,10.763137884076556,1.0,0.0002,3.2838127864549422,3.2838127864549422
14,117,val,100.66422852084165,577.5363159179688,979.2176513671876,85.38816833496094,366.7101930043198,0.2821206152439117,10.888707070975483,1.0,0.0002,2.204122655344294,2.204122655344294
14,235,val,131.34110529473483,852.4230346679688,829.7406005859375,87.13064575195312,374.1335758092031,0.2847043871879577,11.32765218045379,1.0,0.0002,6.482412367901006,6.482412367901006
14,353,val,168.0875694231676,650.3023681640625,1133.4547119140625,85.49590301513672,363.71104700142007,0.2833507657051086,11.089261696164607,1.0,0.0002,5.950246608368751,5.950246608368751
14,471,val,219.98610140968535,800.3471069335938,168.1060791015625,86.13458251953125,365.3718167532999,0.2869560718536377,11.348069100179185,1.0,0.0002,4.9820286189707685,4.9820286189707685
14,585,val,269.1012670174622,1150.210693359375,1059.9208984375,85.25703430175781,361.6494257226704,0.2882102429866791,11.46713861171636,1.0,0.0002,2.3347812847719207,2.3347812847719207
14,epoch_end,train,270.9097342019194,,1541.55908203125,83.26599884033203,362.86282390981125,0.2970198392868042,11.747988240740968,1.0,0.0002,5.543619897041024,5.543619897041024
15,117,val,575.2446503598466,971.6334228515624,1599.2763671875,88.05280303955078,355.97239745605134,0.2926628589630127,11.561496048939762,1.0,0.0002,6.174202032241675,6.174202032241675
15,235,val,617.3198110052879,1296.60791015625,1092.129150390625,86.94999694824219,366.8483172174808,0.2903540134429931,11.432655792486232,1.0,0.0002,2.878867664017588,2.878867664017588
15,353,val,682.1283068346231,1484.034912109375,832.031005859375,85.1326904296875,376.7274008992133,0.2877223491668701,11.251367762753112,1.0,0.0002,4.709895901760952,4.709895901760952
15,471,val,739.8783406381139,1478.630126953125,2028.235595703125,83.2238540649414,363.5906962188231,0.2885415256023407,11.39953783975638,1.0,0.0002,4.656315631297586,4.656315631297586
15,585,val,806.2972898760411,1252.2493896484375,2017.6796875,82.43795013427734,362.9251918477971,0.2976744771003723,11.581894552827482,1.0,0.0002,3.1440448346600745,3.1440448346600745
15,epoch_end,train,807.2317580330492,,1544.957763671875,82.29106903076172,353.2082208879484,0.2888960242271423,11.605454895142495,1.0,0.0002,4.855601092721762,4.855601092721762
16,117,val,1211.239421094585,1712.1785888671875,1859.026123046875,81.76481628417969,373.5302176045405,0.291674792766571,11.31613360916274,1.0,0.0002,3.2668599921023143,3.2668599921023143
16,235,val,1179.0586192678895,1696.6068115234375,938.9906005859376,82.05660247802734,367.0433042764546,0.2853196859359741,11.279767283888308,1.0,0.0002,3.952145482866613,3.952145482866613
16,353,val,1243.1323079225351,1734.169921875,1849.5042724609373,80.29841613769531,360.29083378618753,0.2839762568473816,10.98421554769972,1.0,0.0002,4.524118582021388,4.524118582021388
16,471,val,1250.5639748218964,1454.13623046875,2104.02978515625,81.40823364257812,362.0887630120984,0.2860881388187408,11.38480868505183,1.0,0.0002,3.8403366463911097,3.8403366463911097
16,585,val,1300.1561640291125,2177.114013671875,1409.81103515625,82.08224487304688,366.4539716196188,0.2936165928840637,11.43699917880247,1.0,0.0002,6.010575265023239,6.010575265023239
16,epoch_end,train,1301.5896171075078,,2336.1494140625,81.78109741210938,360.92398455948177,0.2908035516738891,11.372514497385245,1.0,0.0002,3.534249539645627,3.534249539645627
17,117,val,1611.672697800857,2030.2716064453125,1739.1646728515625,83.57414245605469,363.6545277964336,0.2890981137752533,11.424409019062388,1.0,0.0002,2.746364342247943,2.746364342247943
17,235,val,1593.7160001064865,1846.709228515625,2468.535400390625,83.45390319824219,361.58225058673935,0.2828712463378906,10.84582838060026,1.0,0.0002,5.2603128364102325,5.2603128364102325
17,353,val,1634.3504741765953,1842.1568603515625,1309.46875,82.61965942382812,363.8451678438746,0.2971244752407074,11.48989679493172,1.0,0.0002,8.105212762997892,8.105212762997892
17,471,val,1689.4888847172897,2512.065673828125,1618.1168212890625,80.12565612792969,360.556333222271,0.2680913209915161,10.664278912790294,1.0,0.0002,5.505938073240921,5.505938073240921
17,585,val,1735.092005007491,2179.695068359375,1606.3133544921875,85.0631103515625,356.14730200835965,0.2763740122318268,10.876837579909845,1.0,0.0002,4.652253420056452,4.652253420056452
17,epoch_end,train,1734.23550955346,,1601.152099609375,84.19670104980469,360.6568032680877,0.2886082530021667,11.30914773943085,1.0,0.0002,8.299969489048657,8.299969489048657
18,117,val,1969.800218239809,2340.34423828125,1731.6854248046875,87.61791229248047,360.4173335434889,0.2914949357509613,11.48888709838285,1.0,0.0002,4.277672706468844,4.277672706468844
18,235,val,2076.0421341916344,2706.18701171875,1778.8126220703125,85.3073501586914,368.2318870867611,0.2874053716659546,11.139137652883212,1.0,0.0002,2.9266277800090426,2.9266277800090426
18,353,val,2124.889172216311,2849.46142578125,2713.1142578125,84.0007095336914,352.1641034844159,0.2905727028846741,11.224052813447726,1.0,0.0002,5.944880344445304,5.944880344445304
18,471,val,2158.939983748578,2381.6123046875,3106.1806640625,85.17494201660156,353.62997907019206,0.2909164726734161,11.32154791975653,1.0,0.0002,3.724592137963015,3.724592137963015
18,585,val,2186.427274550741,2947.515380859375,2888.675048828125,85.10153198242188,361.3521813556074,0.2965117692947387,11.496540124395016,1.0,0.0002,2.437393530848841,2.437393530848841
18,epoch_end,train,2186.535487959411,,2537.772216796875,86.06269073486328,350.6396321283862,0.3008692562580108,11.52463879359664,1.0,0.0002,5.677934244782053,5.677934244782053
19,117,val,2476.8343370225693,3060.080078125,2817.858642578125,87.89675903320312,352.5536968839168,0.300373375415802,11.56118749740006,1.0,0.0002,4.549784761773648,4.549784761773648
19,235,val,2455.0472788709285,2741.37646484375,2704.424560546875,88.32765197753906,363.0442833030549,0.2934752106666565,11.330776845734558,1.0,0.0002,6.6073445635564685,6.6073445635564685
19,353,val,2506.989808857946,3022.13818359375,3033.584716796875,87.78385925292969,356.7135629902881,0.2888661921024322,11.359630145089024,1.0,0.0002,2.222108893453405,2.222108893453405
19,471,val,2553.459177847374,2949.803466796875,3803.78125,85.42535400390625,366.7629680319151,0.2988860011100769,11.39985365141149,1.0,0.0002,2.966120770812494,2.966120770812494
19,585,val,2595.4741007486978,3051.019287109375,3535.0576171875,90.84072875976562,353.2204818998349,0.2900850772857666,11.19813734122467,1.0,0.0002,3.9992513447373295,3.9992513447373295
19,epoch_end,train,2597.011239738594,,3678.5830078125,88.83689880371094,361.8406158026364,0.2786154150962829,10.97095358058681,1.0,0.0002,3.9158258957089127,3.9158258957089127
20,117,val,2742.0840271517764,3380.8154296875,2180.92822265625,87.4994125366211,367.3042499697163,0.2783224880695343,11.11820257699742,1.0,0.0002,7.858075712736939,7.858075712736939
20,235,val,2840.31995823637,3153.553955078125,3389.7783203125,89.43020629882812,367.6970595606597,0.2939298748970032,11.59933080310262,1.0,0.0002,5.945335164617499,5.945335164617499
20,353,val,2853.3537037446868,3052.28955078125,1755.7791748046875,88.03782653808594,358.5390871222246,0.2937031686306,11.756804433117498,1.0,0.0002,9.459424734338118,9.459424734338118
20,471,val,2887.6661747570006,3289.453125,2582.05908203125,84.9139404296875,363.9818840120173,0.2897539138793945,11.178758558160638,1.0,0.0002,3.810025829950189,3.810025829950189
20,585,val,2931.5472562349746,3706.6708984375,2683.45751953125,86.75933837890625,365.4552729460909,0.2867733836174011,10.881347962714884,1.0,0.0002,4.9134904264937225,4.9134904264937225
20,epoch_end,train,2932.3728891834858,,3637.84912109375,84.10694122314453,362.0189321354303,0.2853628098964691,10.95867443647089,1.0,0.0002,2.7346335107755397,2.7346335107755397
21,117,val,3048.2208846654653,3244.61376953125,3066.97314453125,82.73382568359375,355.9460599858073,0.2942925095558166,11.340427281645235,1.0,0.0002,3.790783853286158,3.790783853286158
21,235,val,3099.368290288398,3361.43017578125,3154.19677734375,84.79911041259766,358.40570050113786,0.2913599908351898,11.423406185826702,1.0,0.0002,6.535533627230209,6.535533627230209
21,353,val,3095.2621876659905,3345.781982421875,3576.46337890625,81.28903198242188,361.0868185186153,0.2905253767967224,11.364821376099908,1.0,0.0002,2.5033574836487977,2.5033574836487977
21,471,val,3155.705934431399,3426.743408203125,3988.2744140625,86.11398315429688,361.4079568170253,0.2755119204521179,10.70202121487459,1.0,0.0002,2.9157577457311943,2.9157577457311943
21,585,val,3187.912176565839,3401.488525390625,3594.986572265625,86.87567138671875,369.9194136196554,0.2749194502830505,10.861221699806524,1.0,0.0002,4.076392862113179,4.076392862113179
21,epoch_end,train,3188.936621343724,,4001.6328125,88.12348937988281,370.187268639732,0.292005181312561,11.39411851445097,1.0,0.0002,3.259272298250671,3.259272298250671
22,117,val,3419.7002380892754,3498.611328125,4122.384765625,89.9693374633789,354.39566451372696,0.2968082129955292,11.3415693609593,1.0,0.0002,6.033553269702735,6.033553269702735
22,235,val,3442.8964204828785,3902.681396484375,3646.57080078125,87.48641967773438,368.7248191661821,0.2895681858062744,11.133150858006156,1.0,0.0002,6.633362797442592,6.633362797442592
22,353,val,3472.6857605844966,3757.59912109375,3798.60986328125,89.52699279785156,360.52651433429054,0.2964475154876709,11.137082744751986,1.0,0.0002,5.327435015600452,5.327435015600452
22,471,val,3484.187179662617,3781.82666015625,4017.9609375,89.150390625,362.2438989202879,0.2978482246398926,11.012357683692592,1.0,0.0002,4.379126973658934,4.379126973658934
22,585,val,3518.6317762586787,3826.1962890625,3299.248046875,91.80007934570312,357.41493985822444,0.2926077842712402,11.0748813782704,1.0,0.0002,6.236337687790424,6.236337687790424
22,epoch_end,train,3517.34039035836,,3093.50830078125,93.58724212646484,362.1148307586093,0.2940407395362854,11.106884006253894,1.0,0.0002,4.346976712830499,4.346976712830499
23,117,val,3590.096128806091,4064.7373046875,3649.48046875,94.1290283203125,362.0945864874693,0.2922308444976806,11.34919284259269,1.0,0.0002,6.822882835071118,6.822882835071118
23,235,val,3707.6752706324814,3660.125,4072.640625,92.62771606445312,368.9763627811175,0.2897409200668335,11.47502690801361,1.0,0.0002,7.160622538359181,7.160622538359181
23,353,val,3743.4813868709066,4042.42333984375,4148.6494140625,91.91563415527344,355.2687545719127,0.3025606870651245,11.476164826870114,1.0,0.0002,5.71585183105372,5.71585183105372
23,471,val,3767.232459714205,3976.61181640625,4674.18359375,88.94488525390625,357.24718756234347,0.2984008491039276,11.65220025020415,1.0,0.0002,7.5013339693034355,7.5013339693034355
23,585,val,3793.593707849225,4212.6259765625,3667.94580078125,89.882568359375,368.9528220745383,0.2934832572937011,11.105124733559578,1.0,0.0002,9.207530258319633,9.207530258319633
23,epoch_end,train,3791.843806244001,,3741.199462890625,92.03343200683594,366.3693099285877,0.2878916561603546,11.017999186551725,1.0,0.0002,10.873425004142954,10.873425004142954
24,117,val,3929.555376101764,4349.24072265625,3814.65234375,84.36641693115234,364.0123082162824,0.2905500531196594,11.05984065489442,1.0,0.0002,2.1071749890531963,2.1071749890531963
24,235,val,3967.48929417387,4158.81982421875,3783.84130859375,91.893798828125,344.077537701845,0.2907016277313232,11.239765410563043,1.0,0.0002,4.17044251767742,4.17044251767742
24,353,val,3946.821789101232,4445.40625,4028.8125,91.70030212402344,366.76105153259095,0.2845484614372253,10.852734389816408,1.0,0.0002,4.158879200098409,4.158879200098409
24,471,val,3956.640774283441,4304.35595703125,4151.97314453125,91.8017349243164,362.83169975065215,0.2874912321567535,11.2715073149509,1.0,0.0002,5.589300089754152,5.589300089754152
24,585,val,3990.331669838409,4239.46435546875,4708.0703125,87.58724975585938,349.9954751524392,0.2947468161582947,11.025624268075347,1.0,0.0002,2.413537598247904,2.413537598247904
24,epoch_end,train,3990.174945505814,,4055.45751953125,89.04695129394531,357.9007033888465,0.2938709557056427,11.228667121079592,1.0,0.0002,2.803537058010963,2.803537058010963
25,117,val,4074.7176398904912,4445.9072265625,3835.0400390625,88.4438247680664,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,3.057838403361101,3.057838403361101
25,235,val,4206.305989237039,4666.7509765625,4717.1318359375,87.70576477050781,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,2.524903959152919,2.524903959152919
25,353,val,4198.922836346943,4340.0244140625,4235.251953125,92.2712631225586,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,3.722035019160431,3.722035019160431
25,471,val,4216.033283986865,4641.7548828125,4598.19921875,88.86959838867188,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,3.4946324591899294,3.4946324591899294
25,585,val,4239.231108523636,4877.84814453125,5023.57666015625,93.35586547851562,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,4.025998173311711,4.025998173311711
25,epoch_end,train,4240.273433750398,,5192.48388671875,93.08978271484376,59.575661197885864,0.7620211125583962,20.909618676565138,1.0,0.0002,6.0220440694267205,6.0220440694267205
