Epoch,Validation IWAE,Train VLB,Reconstruction Error,KL Term,Alpha
27,-13136.271484375,-13759.047084263393,-13145.58101222826,576.4364889393682,0.9974392471106156
28,-13382.091796875,-13757.450340757981,-12994.403674139492,578.7960638516191,0.997348281784334
29,-13192.5615234375,-13634.990008660085,-12849.502250339674,586.5622151692709,0.9972529584083004
30,-13010.55078125,-13589.034952655698,-13060.118093297102,604.8402205757473,0.9971514171448307
31,-13052.2080078125,-13646.283339454243,-12749.356855751812,594.4955214348392,0.9970438229864922
32,-12012.1748046875,-12842.92294921875,-11932.343834918478,585.0745433862659,0.9969347620355911
33,-12204.3896484375,-12569.556571365252,-11879.987715126812,585.9447056867074,0.9968224046886831
34,-12231.2177734375,-12499.206446233791,-11899.670204936594,571.255003998245,0.9967065660849862
35,-11891.0869140625,-12622.568048807423,-12287.259666553442,575.6645879330842,0.996587846590125
36,-12199.765625,-12572.61682302796,-11826.205247961956,588.5670201398324,0.9964624461920365
37,-12831.287109375,-12480.68828125,-12172.348052536232,580.712890625,0.9963311717130136
38,-12738.8369140625,-12403.498469359483,-11495.46533910779,574.5078664586164,0.9961977272793867
39,-11823.90234375,-12502.390477594345,-11968.595957880434,577.7022643158401,0.9960587033327075
40,-12153.228515625,-12456.840016287542,-11964.850939764492,568.8871035368546,0.995914864367333
41,-12899.0458984375,-12563.231773615564,-12613.92385643116,570.0899958956069,0.995768331963083
42,-12359.6708984375,-12757.864801897322,-12139.866946897644,573.2858780570652,0.995613834132319
43,-11700.2412109375,-12901.014856216758,-12271.249688632246,586.3238905754642,0.9954519245935523
44,-12593.5517578125,-12801.375207289208,-12031.908627717392,577.2748324629189,0.9952831924825475
45,-14370.8564453125,-12758.430443214445,-12347.357110507246,565.1053802932518,0.9951121375180673
46,-12341.8134765625,-12749.271787638001,-11888.444902060688,578.423341612885,0.9949339982392131
47,-12276.1875,-11936.129603794647,-11400.502802309782,573.7249879698822,0.9947478753933008
48,-11230.31640625,-12222.999002659579,-11900.032410552536,566.8981924748075,0.994557185449462
49,-11620.609375,-12070.825149248236,-11190.618546195652,572.2854525801064,0.9943608641624451
50,-11935.8681640625,-12077.576606669612,-11526.530698029892,590.288278773211,0.9941515706587529
51,-11516.47265625,-12019.666419048255,-11197.376854053442,579.4022897913836,0.9939344689465951
52,-11192.978515625,-11319.350334821425,-10717.897248641304,589.9979177281476,0.9937088860981707
53,-11121.1748046875,-11307.44456449468,-10746.252236186594,577.2867307801178,0.9934757308683534
54,-10374.06640625,-11267.300256117329,-10655.155825407608,574.2758859827899,0.9932375913080962
55,-10010.7099609375,-11208.238170825969,-10497.85495923913,569.9308383222939,0.9929922542710236
56,-9917.14453125,-11074.42813501602,-9998.94873754529,556.8319109488225,0.9927418318347655
57,-10151.28125,-10990.863323102678,-10388.476873867754,563.8703772503396,0.9924854618915613
58,-10757.802734375,-10966.44342863475,-10381.621744791666,576.4692533188972,0.992214592470639
59,-10635.47265625,-11085.859499373528,-10620.52977807971,577.0672996631567,0.9919303526049075
60,-9729.8583984375,-10889.693569870811,-9968.244253849638,544.4060562797215,0.9916421658750894
61,-9469.224609375,-10695.683877537398,-9428.410594995472,553.6996486497962,0.9913538400677667
62,-9477.9033203125,-10397.137430245535,-9935.435716711956,546.6100056966146,0.9910529428634091
63,-9979.083984375,-10352.624009585548,-9534.782297327898,555.9763466655344,0.9907421746115753
64,-9308.2626953125,-10205.799136755602,-9613.189113451086,548.6535361469656,0.9904176212739253
65,-10401.9287109375,-10229.349723249778,-9497.384963768116,546.0136143781136,0.9900868206784346
66,-10105.33984375,-10292.978192886396,-10002.089164402174,568.6353184796761,0.9897395916607069
67,-9276.6640625,-10051.31739676339,-9701.686820652174,560.8962844627491,0.9893714448680049
68,-10884.8818359375,-9773.337606660018,-8972.331776494566,557.777736497962,0.9889972788700159
69,-9432.064453125,-9742.611903928362,-9325.313320878624,558.9947713216146,0.9886084855466649
70,-9344.3701171875,-9653.696166560841,-8835.971085258152,552.604371001755,0.9882054950879968
71,-9933.5009765625,-9546.950940949968,-8463.438221807066,520.3394036776778,0.9878039040427277
72,-9073.5947265625,-9018.461997767858,-8802.015285326086,514.8553692361583,0.987405356289684
73,-8437.626953125,-8975.716395168443,-8583.684690613678,512.9171200075011,0.9869975369909535
74,-8637.1796875,-8876.566682635617,-8077.055069633152,522.6508010643116,0.9865687575893126
75,-7961.45556640625,-8817.562584543402,-8160.68455615942,527.4603833184726,0.9861236067785732
76,-7636.14990234375,-8737.226811509534,-8050.95359205163,544.0313818005548,0.9856509428093398
77,-8566.1181640625,-8351.980894252234,-7783.027591428895,545.3271395918251,0.9851524000582488
78,-7738.865234375,-8365.584611175756,-7943.733568274457,534.002099963202,0.9846388680347498
79,-7926.822265625,-8362.520874023443,-7796.863479393116,525.3958421790081,0.984122533729111
80,-7423.4248046875,-8322.885338449647,-7849.49314283288,518.3119104357734,0.9835930535758751
81,-7613.4443359375,-8228.129423744655,-7436.909024003623,500.2463449671649,0.9830569884051448
82,-7302.140625,-7527.631201171876,-7325.661649399909,488.1523742675781,0.982521066631096
83,-7908.576171875,-7653.103293993794,-7090.673262001812,497.1984841167063,0.9819698299186818
84,-7429.3525390625,-7604.685164541566,-7300.962975543478,498.9291744508605,0.9813949897669364
85,-7427.05908203125,-7627.958513347505,-6904.083531476449,518.9796721969826,0.9807855970617654
86,-6872.33984375,-7572.863953158387,-7320.637744848279,508.0826836185179,0.9801477884900742
87,-6430.56591796875,-7356.424609375,-6745.280400815217,492.4977359495301,0.9795052201851554
88,-6731.43798828125,-7107.469214040335,-6734.11667798913,468.8399583014889,0.9788621931836226
89,-6904.85888671875,-7078.4217621425405,-6371.380456012228,466.97657178795856,0.9782251240550608
90,-6226.82958984375,-7031.7200854405955,-6609.625134454257,507.0363362630208,0.977541056232176
91,-6212.66650390625,-6945.4916213163315,-6316.485960144928,499.2792791836504,0.9768008080081664
92,-6520.201171875,-6708.235009765626,-6070.671032891757,466.0544491090636,0.9760592199754023
93,-6009.29345703125,-6461.449135638298,-6321.778928894928,496.8960297073143,0.975327976371931
94,-6645.89794921875,-6461.785305958874,-5594.155153136322,520.6145749299423,0.9744890686394512
95,-5716.7646484375,-6428.61486687003,-6037.723087918931,495.4840021548064,0.9736378685287808
96,-5368.4013671875,-6376.029704471596,-5786.386846127717,497.4510993404665,0.9727831189183221
97,-5996.75537109375,-6013.475571986605,-5642.613387398098,523.2865268873131,0.9718660729518835
98,-5595.1943359375,-6046.721087516618,-5522.041334069293,510.8560370846071,0.9709108299103336
99,-5575.5498046875,-5900.192850364829,-5581.581910948822,494.1349655372509,0.9699432815330616
100,-5744.8037109375,-5869.584015431759,-5129.164621546649,504.3301559669384,0.9689663467199906
101,-5145.240234375,-5887.2739869902925,-5290.35838782269,494.6376280853714,0.9679342905680338
102,-5089.46728515625,-5573.218736049108,-5495.914727694746,490.3389317609262,0.966895379881928
103,-5331.8837890625,-5575.483102352062,-5084.974980893342,494.383324664572,0.965825088646101
104,-5468.134765625,-5479.329049740196,-5098.759871773098,462.11265453393906,0.9647338519925657
105,-5218.79736328125,-5447.991443000499,-4904.209904325181,449.838281603827,0.9636720868124478
106,-5012.8271484375,-5423.746535428908,-4929.795933820199,444.42844247126925,0.9625990822695304
107,-4796.2626953125,-5076.395975167409,-4850.217543449955,452.6991064099298,0.9614819495574288
108,-4795.8134765625,-5085.892919229279,-4711.480291836504,454.12230428059894,0.9603184971256532
109,-4972.1171875,-5109.289699338518,-4714.582264775815,456.0130172950634,0.9591217092845751
110,-4551.73876953125,-5069.093553307207,-4640.307181980299,453.7302285899287,0.9578680819359379
111,-4446.974609375,-5060.9133391203795,-4596.563388105752,462.50456259907156,0.9565688889959584
112,-4377.16015625,-4837.944377790179,-4517.424542855525,447.2150830255039,0.9552541953929956
113,-4356.52099609375,-4755.705330923094,-4431.936120074728,483.8462241352468,0.9538335204124451
114,-4410.32177734375,-4680.825317382813,-4357.569969287817,448.99803537562275,0.9523829955985581
115,-3872.74365234375,-4630.117140914863,-4027.887309641078,438.1687520345052,0.9509591175162274
116,-3915.595703125,-4528.092207253829,-4404.561863111413,424.1309854258662,0.9495166669721189
117,-4149.7958984375,-4565.4750104631685,-3440.1230221071105,418.1844800866169,0.9480815210204193
118,-3974.4599609375,-4452.371304992241,-4226.199494735054,430.11085620824844,0.9465909764386605
119,-3955.2509765625,-4370.9088008088875,-3990.619731516078,408.5480413022249,0.9450498776159425
120,-3625.21484375,-4304.552221938493,-3896.9219528419385,419.49869437839675,0.9434881944587266
121,-3431.992431640625,-4221.2060985076105,-3769.310157665308,407.2543392457824,0.9418890640355538
122,-3715.07275390625,-3691.5625592912943,-3604.7823893229165,409.26468868532044,0.9402334750562474
123,-3497.10986328125,-3699.7990393672435,-3280.127296337183,408.3302568076313,0.9385542696800785
124,-3782.24951171875,-3837.5137329101562,-3385.198486328125,396.6459832675215,0.9368370831876561
125,-3435.768310546875,-3851.259266128809,-3474.529686084692,396.7287159795346,0.935098503810772
126,-3116.998779296875,-3813.1061684806796,-3660.3001797441125,392.1939666305763,0.9333038658335588
